z (m),p (Pa),U (m/s),T (K),H,H2,O,O2,H2O,OH,H2O2,HO2,AR,N2
0.021005859374999998,101325.0,6.076394259412567,851.9124556920694,0.00046989870596479146,0.018522973414490308,0.0005636143391733091,0.19014953952370267,0.04488712672193479,0.0009281461572688961,0.00030570388141851657,0.00011869415093911708,-4.7350448416394285e-15,0.74405430310485
0.02101171875,101325.0,6.275700130858538,881.9962963157723,0.0005293443572455294,0.017945776090116584,0.0006962289446824899,0.18669916911208975,0.04895263696547114,0.0009532247443011254,0.00028056042155521257,0.00010892152046112913,-1.464192595733416e-14,0.743834137843707
0.021017578125,101325.0,6.4715481329615265,911.6572817385817,0.0005911968792449441,0.01736112898148766,0.0008479642328892076,0.18304167828636753,0.053192192038493916,0.0009909225558929204,0.00025705426776792984,0.00010034237236188393,-2.19351143226898e-14,0.743617520385113
0.0210234375,101325.0,6.66412056838485,940.9025007495836,0.00065517603638844,0.016770109478061925,0.0010186910256167045,0.1791673028546785,0.05760863316150444,0.0010428719452747809,0.00023584027706459711,9.276539458228758e-05,-2.9709404822703524e-14,0.7434086098259203
0.021029296875,101325.0,6.853594287735557,969.7385029616831,0.0007209628284164184,0.016174044023986964,0.0012077507646927335,0.17507099684786143,0.06220098989933607,0.0011103527270188045,0.00021734271422347402,8.602611598124739e-05,-1.853876775247163e-14,0.7432115340780355
0.02103515625,101325.0,7.040128398770631,998.1700075007105,0.0007881957037061274,0.01557452085352977,0.0014139717286676577,0.17075319554477528,0.06696382140080023,0.0011943141780529467,0.00020177651892278883,7.998940051902941e-05,-2.3401277711295113e-14,0.7430302146702226
0.021041015625,101325.0,7.223686015657307,1026.1750326508213,0.0008564704802838545,0.014973382076592514,0.001635702785478932,0.1662202919604878,0.07188685766555952,0.0012953849702155085,0.00018917024818779527,7.45488784298312e-05,-1.540079954926179e-14,0.7428681909349251
0.021046875,101325.0,7.404094064978755,1053.7135967804556,0.000925344357177829,0.014372696619225344,0.001870873026930119,0.16148478944643513,0.07695495414728451,0.0014138720403817171,0.00017938855119405283,6.962002841853463e-05,-4.200368486132392e-14,0.74272846178166
0.021052734375,101325.0,7.581313843883663,1080.7664921130915,0.0009943420494851606,0.013774727395156672,0.002117071368381458,0.15656518245891,0.08214824865691346,0.0015497691577668576,0.00017215424547562438,6.513163909630566e-05,-1.9869325145392978e-14,0.7426133730287285
0.02105859375,101325.0,7.755269170728471,1107.3112148608438,0.0010629637114194937,0.013181889172105627,0.002371626429101604,0.15148557056484213,0.08744253597072359,0.0017027749728295058,0.00016707232073556253,6.1026585070881325e-05,-3.7472318160711965e-14,0.7425245402723293
0.021064453125,101325.0,7.925851461148633,1133.3228632156158,0.001130695524235234,0.012596691848108195,0.002631695385211282,0.14627497239710377,0.09280990300442245,0.001872317843267754,0.00016365710353522146,5.7259772020607675e-05,-3.082566248163917e-14,0.7424628071214745
0.0210703125,101325.0,8.092926231315488,1158.7751504059695,0.0011970217101704803,0.0120216770811933,0.0028943567244480144,0.14096641297415508,0.09821954128902785,0.002057585850277116,0.00016136496447280216,5.3795860150089056e-05,-3.1082261286019515e-14,0.7424282435451875
0.021076171875,101325.0,8.256340586146806,1183.6414700539094,0.001261437206206455,0.011459351893900625,0.0031567029067710657,0.1355958427483828,0.10363868250118953,0.002257560504645715,0.00015963388880125932,5.06070674311463e-05,-2.126705453656124e-14,0.7424201812822571
0.02108203125,101325.0,8.415931262275453,1207.8959589083654,0.0013234602229374723,0.01091212296747996,0.0034159286397218605,0.13020095768058898,0.10903359804262251,0.002471051898290056,0.00015792900499313848,4.767109589884851e-05,-2.702857341580957e-14,0.7424372804470739
0.021087890625,101325.0,8.571532797648693,1231.5145069990342,0.0013826439689096598,0.010382235157335308,0.0036694104617771483,0.12481999474788327,0.11437060359711891,0.002696733101307317,0.00015579006822537633,4.4969266565882516e-05,-3.408182889820409e-14,0.7424776196303196
0.021093749999999998,101325.0,8.722985396313181,1254.475667839165,0.001438586929770787,0.00987171731700952,0.003914773666505273,0.11949057600782907,0.11961701385901256,0.0029331723651425273,0.00015287394713658909,4.248500846078316e-05,-3.694220570957178e-14,0.7425388008980651
0.021099609374999995,101325.0,8.870142056848227,1276.7614228837929,0.0014909412393438108,0.009382337864729392,0.004149943282320299,0.11424866689141466,0.12474200026841112,0.0031788627286895637,0.0001489837893722771,4.0202855291100204e-05,-2.382276646153951e-14,0.742618061080324
0.021105468749999995,101325.0,9.012874549583762,1298.3577578874476,0.0015394188468449272,0.008915571735513442,0.00437317673140969,0.10912770179508885,0.1297173143446766,0.0034322493557524566,0.00014407796533812928,3.810803265299212e-05,-3.960506125476618e-14,0.7427123811925546
